INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:21:49
INFO     | server.py -> accept | new client joined: 49614 |2019-12-13 21:21:49
INFO     | tracker.py -> handle_connection | client connected: 49614 |2019-12-13 21:21:49
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:21:49
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:21:49
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:21:49
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:21:49
INFO     | server.py -> wait_for_termination | server terminated by user |2019-12-13 21:24:07
CRITICAL | server.py -> accept | accept new client failed[Errno 53] Software caused connection abort |2019-12-13 21:24:07
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:24:09
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:24:12
INFO     | server.py -> accept | new client joined: 49624 |2019-12-13 21:24:12
INFO     | tracker.py -> handle_connection | client connected: 49624 |2019-12-13 21:24:12
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:24:12
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:24:12
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:24:12
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:24:12
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:29:13
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:29:15
INFO     | server.py -> wait_for_termination | server terminated by user |2019-12-13 21:31:18
CRITICAL | server.py -> accept | accept new client failed[Errno 53] Software caused connection abort |2019-12-13 21:31:18
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:31:18
INFO     | server.py -> accept | new client joined: 49652 |2019-12-13 21:31:18
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:31:18
INFO     | tracker.py -> handle_connection | client connected: 49652 |2019-12-13 21:31:18
CRITICAL | client.py ->  | receive[Errno 9] Bad file descriptor |2019-12-13 21:31:18
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:31:18
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:31:18
INFO     | server.py -> wait_for_termination | server terminated by user |2019-12-13 21:31:22
CRITICAL | server.py -> accept | accept new client failed[Errno 53] Software caused connection abort |2019-12-13 21:31:22
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:32:35
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:32:38
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:32:38
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:32:38
INFO     | server.py -> accept | new client joined: 49660 |2019-12-13 21:32:38
INFO     | tracker.py -> handle_connection | client connected: 49660 |2019-12-13 21:32:38
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:32:38
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:32:38
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:32:38
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:34:34
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:34:36
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:34:36
INFO     | server.py -> accept | new client joined: 49666 |2019-12-13 21:34:36
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:34:36
INFO     | tracker.py -> handle_connection | client connected: 49666 |2019-12-13 21:34:36
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:34:36
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:34:36
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:34:36
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:35:41
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:35:43
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:35:43
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:35:43
INFO     | server.py -> accept | new client joined: 49673 |2019-12-13 21:35:43
INFO     | tracker.py -> handle_connection | client connected: 49673 |2019-12-13 21:35:43
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:35:43
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:35:43
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:35:43
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:35:43
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:36:53
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:36:56
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:36:56
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:36:56
INFO     | server.py -> accept | new client joined: 49677 |2019-12-13 21:36:56
INFO     | tracker.py -> handle_connection | client connected: 49677 |2019-12-13 21:36:56
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:36:56
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:36:56
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:36:56
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:36:56
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:40:47
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:40:50
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:40:50
INFO     | server.py -> accept | new client joined: 49725 |2019-12-13 21:40:50
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:40:50
INFO     | tracker.py -> handle_connection | client connected: 49725 |2019-12-13 21:40:50
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:40:50
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:40:50
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:40:50
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:40:50
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:44:00
